LOCATION,Country,INDICATOR,Indicator,MEASURE,Measure,INEQUALITY,Inequality,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags,Entity,Code,Year,GDP per capita (USD)
AUS,Australia,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,,,5.4,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,0,Units,,,5.9,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,5.0,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,2.29,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,11.02,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,2.7,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,,,20.0,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,,,63.5,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,,,80.1,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,PS_FSAFEN,Feeling safe walking alone at night,L,Value,WMN,Women,PC,Percentage,0,Units,,,48.8,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,IW_HADI,Household net adjusted disposable income,L,Value,TOT,Total,USD,US Dollar,0,Units,,,32759.0,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,IW_HNFW,Household net wealth,L,Value,TOT,Total,USD,US Dollar,0,Units,,,427064.0,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,73.0,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,0,Units,,,78.0,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,0,Units,,,68.0,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,1.31,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0,Units,,,1.38,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0,Units,,,1.23,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,,,49126.0,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,0,Units,,,95.0,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,0,Units,,,96.0,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,SC_SNTWS,Quality of support network,L,Value,WMN,Women,PC,Percentage,0,Units,,,94.0,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,SC_SNTWS,Quality of support network,L,Value,HGH,High,PC,Percentage,0,Units,,,96.0,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,81.0,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,ES_EDUA,Educational attainment,L,Value,MN,Men,PC,Percentage,0,Units,,,82.0,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,ES_EDUA,Educational attainment,L,Value,WMN,Women,PC,Percentage,0,Units,,,80.0,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,502.0,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,498.0,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,506.0,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,550.0,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,ES_STCS,Student skills,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,0.0,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,ES_EDUEX,Years in education,L,Value,TOT,Total,YR,Years,0,Units,,,21.0,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,ES_EDUEX,Years in education,L,Value,MN,Men,YR,Years,0,Units,,,20.8,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,ES_EDUEX,Years in education,L,Value,WMN,Women,YR,Years,0,Units,,,21.1,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,EQ_AIRP,Air pollution,L,Value,TOT,Total,MICRO_M3,Micrograms per cubic metre,0,Units,,,5.0,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,93.0,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,EQ_WATER,Water quality,L,Value,MN,Men,PC,Percentage,0,Units,,,93.0,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,EQ_WATER,Water quality,L,Value,WMN,Women,PC,Percentage,0,Units,,,92.0,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,91.0,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,HS_LEB,Life expectancy,L,Value,TOT,Total,YR,Years,0,Units,,,82.5,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,HS_LEB,Life expectancy,L,Value,MN,Men,YR,Years,0,Units,,,80.4,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,HS_LEB,Life expectancy,L,Value,WMN,Women,YR,Years,0,Units,,,84.6,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,HS_SFRH,Self-reported health,L,Value,TOT,Total,PC,Percentage,0,Units,,,85.0,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,HS_SFRH,Self-reported health,L,Value,MN,Men,PC,Percentage,0,Units,,,85.0,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,HS_SFRH,Self-reported health,L,Value,WMN,Women,PC,Percentage,0,Units,,,85.0,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,HS_SFRH,Self-reported health,L,Value,HGH,High,PC,Percentage,0,Units,,,94.0,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,7.3,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,7.2,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,7.4,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.5,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,PS_REPH,Homicide rate,L,Value,TOT,Total,RATIO,Ratio,0,Units,,,1.1,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,PS_REPH,Homicide rate,L,Value,MN,Men,RATIO,Ratio,0,Units,,,1.5,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,PS_REPH,Homicide rate,L,Value,WMN,Women,RATIO,Ratio,0,Units,,,0.7,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,13.04,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,WL_EWLH,Employees working very long hours,L,Value,MN,Men,PC,Percentage,0,Units,,,19.17,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,WL_EWLH,Employees working very long hours,L,Value,WMN,Women,PC,Percentage,0,Units,,,6.31,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,WL_TNOW,Time devoted to leisure and personal care,L,Value,TOT,Total,HOUR,Hours,0,Units,,,14.35,,,Australia,AUS,2020,48697.8370282475
AUS,Australia,WL_TNOW,Time devoted to leisure and personal care,L,Value,MN,Men,HOUR,Hours,0,Units,,,14.37,,,Australia,AUS,2020,48697.8370282475
